event_id,match_id,minute,second,team_name,player_name,event_type,xg,shot_outcome,shot_type,body_part,technique,play_pattern,x,y,end_x,end_y,end_z,is_goal
72596ffe-393e-4a75-82c6-5fb82ae36d4d,3754058,1,33,AFC Bournemouth,Junior Stanislas,Shot,0.02083787,Blocked,Open Play,Right Foot,Normal,Regular Play,107.1,26.6,109.7,30.1,,0
b2bae775-5dd8-45bf-9b84-191c7849f707,3754058,4,23,AFC Bournemouth,Joshua King,Shot,0.034461774,Blocked,Open Play,Right Foot,Normal,Regular Play,113.7,54.0,114.5,52.6,,0
7c4227e5-0759-4633-93ea-bbbe291bbd72,3754058,9,20,Leicester City,Riyad Mahrez,Shot,0.035480928,Off T,Open Play,Left Foot,Overhead Kick,Regular Play,115.7,50.5,120.0,43.3,3.6,0
8e3a6f10-64e4-49bf-a157-16b15b552713,3754058,13,11,AFC Bournemouth,Joshua King,Shot,0.38371146,Off T,Open Play,Head,Normal,From Throw In,113.9,38.6,120.0,46.0,1.2,0
3a5364b3-0b99-4271-a451-0a3033ad195d,3754058,25,47,Leicester City,José Leonardo Ulloa,Shot,0.036740057,Wayward,Open Play,Right Foot,Half Volley,From Free Kick,96.7,47.2,103.9,40.1,,0
1d66ec6b-17ea-418d-a390-b5b4ac0f8181,3754058,25,49,Leicester City,Jamie Vardy,Shot,0.5754278,Post,Open Play,Right Foot,Normal,From Free Kick,111.3,38.7,120.0,36.0,1.3,0
e766a3d8-8a5e-42d2-aea1-378af85d8c6b,3754058,32,14,AFC Bournemouth,Junior Stanislas,Shot,0.095997825,Off T,Open Play,Right Foot,Normal,From Throw In,112.6,28.7,120.0,48.0,5.3,0
373e52d0-06f0-44bd-b62c-0a4fe528c6b4,3754058,33,52,Leicester City,José Leonardo Ulloa,Shot,0.04725947,Off T,Open Play,Head,Normal,From Free Kick,112.1,32.8,120.0,48.3,1.0,0
77d83d42-ad31-42c6-a606-415f6ac199b8,3754058,36,57,AFC Bournemouth,Dan Gosling,Shot,0.25644818,Off T,Open Play,Right Foot,Normal,From Free Kick,108.4,43.0,120.0,41.4,4.9,0
12ab3780-190a-477f-b832-8c612d0fd5b0,3754058,37,43,Leicester City,Jamie Vardy,Shot,0.1119732,Wayward,Open Play,Left Foot,Normal,From Goal Kick,114.2,27.2,119.2,50.5,,0
75d2cbc8-05fb-4749-867b-2bf99fada8ff,3754058,50,11,Leicester City,Jamie Vardy,Shot,0.094897345,Saved,Open Play,Right Foot,Normal,Regular Play,100.4,33.3,116.1,41.6,0.2,0
30c759a1-d45c-497c-b50e-c5573107122b,3754058,50,55,Leicester City,Wes Morgan,Shot,0.64057934,Off T,Open Play,Left Foot,Volley,From Corner,117.3,39.5,120.0,41.5,6.1,0
f4be3b30-a789-4f02-8f16-ee9547c719cb,3754058,58,11,Leicester City,Riyad Mahrez,Shot,0.7835,Saved,Penalty,Left Foot,Normal,Other,108.4,40.2,118.9,43.0,0.9,0
7c27fea2-e387-423b-ae7b-cd60be0ec1e7,3754058,63,4,AFC Bournemouth,Adam Smith,Shot,0.022849003,Blocked,Open Play,Right Foot,Normal,From Throw In,87.6,45.6,99.6,41.3,,0
a5cc0f8a-6054-492f-afe3-c2574db1eda9,3754058,63,9,AFC Bournemouth,Junior Stanislas,Shot,0.054560155,Blocked,Open Play,Right Foot,Normal,From Throw In,101.4,29.4,104.1,31.5,,0
0eceba7b-61d4-4f2e-b1c9-6a73eee0162e,3754058,63,48,AFC Bournemouth,Adam Smith,Shot,0.01612113,Blocked,Open Play,Right Foot,Normal,From Corner,88.5,47.4,94.3,46.2,,0
e22f90a1-9494-4a0e-9a82-450d81070063,3754058,65,43,Leicester City,N''Golo Kanté,Shot,0.0250954,Off T,Open Play,Right Foot,Volley,From Corner,97.0,32.9,120.0,43.1,7.5,0
a9326c0b-1e10-43f1-8d0d-de63ca8a6114,3754058,69,9,Leicester City,Robert Huth,Shot,0.05736443,Saved,Open Play,Head,Normal,From Throw In,114.3,30.0,118.9,36.0,0.9,0
24f7f6d4-bbb0-45da-8414-2cb58af7d8f4,3754058,69,41,AFC Bournemouth,Charlie Daniels,Shot,0.008613406,Off T,Open Play,Left Foot,Half Volley,Regular Play,98.5,18.0,120.0,33.2,1.1,0
ca9b925c-13c5-4a4c-bcbb-d5c48ed89d91,3754058,73,42,Leicester City,Shinji Okazaki,Shot,0.039429333,Off T,Open Play,Left Foot,Volley,Regular Play,103.7,26.3,120.0,49.2,0.2,0
7db239ff-9ff2-4e31-bb58-acb3a1cba52e,3754058,75,36,Leicester City,N''Golo Kanté,Shot,0.24525318,Off T,Open Play,Left Foot,Normal,From Throw In,109.7,43.2,120.0,19.2,0.0,0
3ca8bc18-6083-4d5a-afc1-4dc20de42e43,3754058,79,52,AFC Bournemouth,Dan Gosling,Shot,0.042901754,Blocked,Open Play,Left Foot,Normal,Regular Play,103.0,50.4,103.9,49.8,,0
ae5dfce5-95e6-47b1-b2e3-abc11d7d59f2,3754058,82,59,Leicester City,Jamie Vardy,Shot,0.012095166,Off T,Open Play,Head,Normal,From Corner,116.3,53.9,120.0,34.6,0.2,0
39ba03e1-5445-4735-a38e-c0b8330d9883,3754058,85,0,Leicester City,N''Golo Kanté,Shot,0.023959583,Blocked,Open Play,Right Foot,Normal,Regular Play,99.2,23.6,104.0,28.2,,0
4a791b58-400d-412b-89e9-7d6a8dc6d454,3754058,85,9,Leicester City,Danny Drinkwater,Shot,0.044721026,Off T,Open Play,Left Foot,Half Volley,Regular Play,99.3,37.5,120.0,48.0,0.0,0
