match_id,team_name,formation
3754058,Leicester City,4-4-2
3754058,AFC Bournemouth,4-1-4-1
3754245,West Bromwich Albion,4-4-2
3754245,Sunderland,4-2-3-1
3754136,Newcastle United,4-2-3-1
3754136,Aston Villa,4-1-2-1-2
3754037,Everton,4-2-3-1
3754037,AFC Bournemouth,4-4-2
3754039,Crystal Palace,4-1-4-1
3754039,Watford,4-3-3
3754041,Arsenal,4-2-3-1
3754041,Aston Villa,3-5-2
3754042,West Bromwich Albion,4-2-3-1
3754042,Liverpool,4-3-3
3754043,Tottenham Hotspur,4-2-3-1
3754043,AFC Bournemouth,4-4-2
3754045,Leicester City,4-5-1
3754045,Manchester City,4-2-3-1
3754048,Crystal Palace,4-4-2
3754048,Everton,4-2-3-1
3754049,Leicester City,4-4-2
3754049,Norwich City,3-4-3
3754050,Sunderland,4-1-4-1
3754050,Crystal Palace,4-2-3-1
3754052,West Bromwich Albion,4-2-3-1
3754052,Norwich City,4-4-2
3754053,Aston Villa,4-2-3-1
3754053,Tottenham Hotspur,4-2-3-1
3754055,Liverpool,4-4-1-1
3754055,Chelsea,4-2-3-1
3754226,Sunderland,4-3-3
3754226,Liverpool,4-2-3-1
3754014,Stoke City,4-2-3-1
3754014,Manchester United,4-2-3-1
3754091,Stoke City,4-2-3-1
3754091,Watford,4-4-2
3754135,Stoke City,4-5-1
3754135,Manchester City,4-2-3-1
3754293,Stoke City,4-2-3-1
3754293,Chelsea,4-2-3-1
3754339,Stoke City,4-2-3-1
3754339,AFC Bournemouth,4-4-1-1
3754146,Stoke City,4-2-3-1
3754146,Leicester City,4-4-2
3754347,Manchester United,4-2-3-1
3754347,West Ham United,4-5-1
3754255,Liverpool,4-3-3
3754255,West Bromwich Albion,4-1-4-1
3754278,AFC Bournemouth,4-4-1-1
3754278,Watford,4-4-2
3753979,Crystal Palace,4-2-3-1
3753979,Sunderland,3-5-2
3753972,Swansea City,4-2-3-1
3753972,AFC Bournemouth,4-4-1-1
3753978,Southampton,4-2-3-1
3753978,Swansea City,4-3-2-1
3753974,Newcastle United,4-4-1-1
3753974,Everton,4-3-3
3753993,Sunderland,4-4-2
3753993,Norwich City,4-2-3-1
3753983,Swansea City,4-2-3-1
3753983,Arsenal,4-2-3-1
3754015,Manchester United,4-2-3-1
3754015,Manchester City,4-2-3-1
3754038,Norwich City,4-2-3-1
3754038,Arsenal,4-2-3-1
3754001,Newcastle United,4-4-2
3754001,Chelsea,4-2-3-1
3754007,Stoke City,4-2-3-1
3754007,West Bromwich Albion,4-5-1
3754008,Manchester United,4-2-3-1
3754008,Sunderland,4-1-4-1
3754029,Tottenham Hotspur,4-2-3-1
3754029,Aston Villa,4-2-3-1
3753995,Chelsea,4-2-3-1
3753995,Southampton,4-2-3-1
3753999,Watford,4-4-2
3753999,Arsenal,4-2-3-1
3754017,Aston Villa,4-2-3-1
3754017,Swansea City,4-2-3-1
3754006,West Bromwich Albion,4-4-2
3754006,Leicester City,4-4-2
3754023,AFC Bournemouth,4-4-1-1
3754023,Leicester City,4-1-4-1
3753984,Liverpool,4-3-3
3753984,West Ham United,4-3-3
3754011,Southampton,4-2-3-1
3754011,Manchester United,4-2-3-1
3754010,Newcastle United,4-1-4-1
3754010,Watford,4-4-2
3754028,Manchester City,4-2-3-1
3754028,Southampton,4-1-4-1
3753996,Chelsea,4-2-3-1
3753996,Norwich City,4-4-1-1
3754025,Chelsea,4-2-3-1
3754025,Sunderland,3-5-2
3754068,Aston Villa,4-4-1-1
3754068,West Bromwich Albion,4-3-3
3754056,Everton,4-3-3
3754056,Stoke City,4-2-3-1
3754040,Liverpool,3-4-1-2
3754040,Norwich City,4-1-4-1
3754074,Swansea City,4-2-3-1
3754074,Tottenham Hotspur,4-2-3-1
3754076,Sunderland,4-2-3-1
3754076,West Ham United,4-2-3-1
3754067,Crystal Palace,4-2-3-1
3754067,West Ham United,4-2-3-1
3754079,Manchester City,4-2-3-1
3754079,Newcastle United,4-2-3-1
3754090,Newcastle United,4-4-2
3754090,Stoke City,4-2-3-1
3754083,Chelsea,4-2-3-1
3754083,Crystal Palace,4-2-3-1
3754077,Manchester City,4-2-3-1
3754077,West Ham United,4-1-4-1
3754060,Everton,4-2-3-1
3754060,Liverpool,3-5-2
3754073,Chelsea,4-2-3-1
3754073,AFC Bournemouth,4-5-1
3754085,Swansea City,4-2-3-1
3754085,Leicester City,4-4-2
3754047,Liverpool,4-3-3
3754047,Swansea City,4-4-1-1
3754051,Watford,4-4-2
3754051,Liverpool,4-3-3
3754093,Tottenham Hotspur,4-3-2-1
3754093,Chelsea,4-2-3-1
3754046,Everton,4-2-3-1
3754046,Crystal Palace,4-3-3
3754072,Sunderland,3-4-2-1
3754072,Watford,4-2-3-1
3754082,Everton,4-2-3-1
3754082,Sunderland,3-4-1-2
3754106,Leicester City,4-4-2
3754106,Aston Villa,4-2-3-1
3754099,Crystal Palace,4-3-3
3754099,West Bromwich Albion,4-3-3
3754098,Chelsea,4-2-3-1
3754098,Liverpool,4-3-2-1
3754057,Tottenham Hotspur,4-2-3-1
3754057,Norwich City,4-2-3-1
3754112,Newcastle United,4-2-3-1
3754112,Southampton,4-2-3-1
3754117,Aston Villa,4-3-3
3754117,Arsenal,4-2-3-1
3754104,Norwich City,4-4-1-1
3754104,Stoke City,4-2-3-1
3754054,Manchester City,4-2-3-1
3754054,Sunderland,4-3-3
3754113,Southampton,4-2-3-1
3754113,Aston Villa,4-3-3
3754107,Aston Villa,4-3-3
3754107,Manchester United,4-2-3-1
3754105,West Bromwich Albion,4-3-3
3754105,Everton,4-2-3-1
3754097,Manchester United,4-2-3-1
3754097,Tottenham Hotspur,4-2-3-1
3754102,Newcastle United,4-4-2
3754102,Norwich City,4-2-3-1
3754115,Chelsea,4-4-1-1
3754115,Aston Villa,4-2-3-1
3754148,Sunderland,4-2-3-1
3754148,Tottenham Hotspur,4-2-3-1
3754169,AFC Bournemouth,4-4-1-1
3754169,Sunderland,4-2-3-1
3754174,Leicester City,4-4-2
3754174,Arsenal,4-2-3-1
3754185,Watford,4-2-3-1
3754185,Manchester United,4-2-2-2
3754162,AFC Bournemouth,4-1-4-1
3754162,Manchester United,4-2-3-1
3754096,West Ham United,4-1-4-1
3754096,Stoke City,4-2-3-1
3754171,Arsenal,4-2-3-1
3754171,Manchester United,4-2-3-1
3754119,Sunderland,4-2-3-1
3754119,Newcastle United,4-4-2
3754126,Arsenal,4-2-3-1
3754126,Everton,4-2-3-1
3754133,Norwich City,4-1-4-1
3754133,West Bromwich Albion,4-4-2
3754167,Manchester City,4-4-2
3754167,Norwich City,3-4-2-1
3754145,West Bromwich Albion,4-4-2
3754145,Manchester City,4-2-3-1
3754153,Stoke City,4-3-3
3754153,Crystal Palace,4-4-2
3754143,Newcastle United,4-4-1-1
3754143,Liverpool,4-2-3-1
3754186,Leicester City,4-4-2
3754186,Manchester United,3-4-1-2
3754130,Norwich City,4-4-1-1
3754130,Aston Villa,4-2-3-1
3754188,Southampton,4-2-3-1
3754188,Tottenham Hotspur,4-2-3-1
3754178,Aston Villa,4-3-3
3754178,Watford,4-4-2
3754157,AFC Bournemouth,4-4-1-1
3754157,Everton,4-2-3-1
3754166,Everton,4-3-3
3754166,Leicester City,4-4-2
3754211,Newcastle United,4-4-2
3754211,Leicester City,4-4-2
3754150,Sunderland,3-5-2
3754150,Stoke City,4-2-3-1
3754160,Arsenal,4-2-3-1
3754160,Sunderland,3-4-3
3754218,Crystal Palace,4-4-2
3754218,Southampton,3-4-3
3754217,Chelsea,4-2-3-1
3754217,Arsenal,4-2-3-1
3754205,Newcastle United,4-2-3-1
3754205,Arsenal,4-2-3-1
3754221,Swansea City,4-2-3-1
3754221,Manchester United,4-2-3-1
