league,season_year,fixture_id,date,team,opponent,formation
Bundesliga,2024,1224229,2025-04-12T16:30:00+00:00,Bayern München,Borussia Dortmund,4-2-3-1
Bundesliga,2024,1224229,2025-04-12T16:30:00+00:00,Borussia Dortmund,Bayern München,3-1-4-2
Bundesliga,2024,1224228,2025-04-13T13:30:00+00:00,VfB Stuttgart,Werder Bremen,4-2-3-1
Bundesliga,2024,1224228,2025-04-13T13:30:00+00:00,Werder Bremen,VfB Stuttgart,3-5-2
Bundesliga,2024,1224230,2025-04-13T15:30:00+00:00,Eintracht Frankfurt,1. FC Heidenheim,4-2-3-1
Bundesliga,2024,1224230,2025-04-13T15:30:00+00:00,1. FC Heidenheim,Eintracht Frankfurt,3-1-4-2
Bundesliga,2024,1224240,2025-04-19T13:30:00+00:00,SC Freiburg,1899 Hoffenheim,4-4-1-1
Bundesliga,2024,1224240,2025-04-19T13:30:00+00:00,1899 Hoffenheim,SC Freiburg,3-4-2-1
Bundesliga,2024,1224239,2025-04-19T13:30:00+00:00,Werder Bremen,VfL Bochum,3-5-2
Bundesliga,2024,1224239,2025-04-19T13:30:00+00:00,VfL Bochum,Werder Bremen,3-4-3
Bundesliga,2024,1224242,2025-04-19T13:30:00+00:00,FSV Mainz 05,VfL Wolfsburg,3-4-1-2
Bundesliga,2024,1224242,2025-04-19T13:30:00+00:00,VfL Wolfsburg,FSV Mainz 05,3-5-2
Bundesliga,2024,1224236,2025-04-19T13:30:00+00:00,RB Leipzig,Holstein Kiel,4-4-2
Bundesliga,2024,1224236,2025-04-19T13:30:00+00:00,Holstein Kiel,RB Leipzig,3-4-3
Bundesliga,2024,1224238,2025-04-19T13:30:00+00:00,1. FC Heidenheim,Bayern München,4-3-1-2
Bundesliga,2024,1224238,2025-04-19T13:30:00+00:00,Bayern München,1. FC Heidenheim,4-2-3-1
Bundesliga,2024,1224243,2025-04-19T16:30:00+00:00,Union Berlin,VfB Stuttgart,3-5-2
Bundesliga,2024,1224243,2025-04-19T16:30:00+00:00,VfB Stuttgart,Union Berlin,4-2-3-1
Bundesliga,2024,1224241,2025-04-20T13:30:00+00:00,FC Augsburg,Eintracht Frankfurt,3-4-2-1
Bundesliga,2024,1224241,2025-04-20T13:30:00+00:00,Eintracht Frankfurt,FC Augsburg,3-5-2
Bundesliga,2024,1224237,2025-04-20T15:30:00+00:00,Borussia Dortmund,Borussia Mönchengladbach,3-4-2-1
Bundesliga,2024,1224237,2025-04-20T15:30:00+00:00,Borussia Mönchengladbach,Borussia Dortmund,4-2-3-1
Bundesliga,2024,1224244,2025-04-20T17:30:00+00:00,FC St. Pauli,Bayer Leverkusen,3-4-3
Bundesliga,2024,1224244,2025-04-20T17:30:00+00:00,Bayer Leverkusen,FC St. Pauli,3-4-2-1
Bundesliga,2024,1224246,2025-04-25T18:30:00+00:00,VfB Stuttgart,1. FC Heidenheim,4-2-3-1
Bundesliga,2024,1224246,2025-04-25T18:30:00+00:00,1. FC Heidenheim,VfB Stuttgart,5-3-2
Bundesliga,2024,1224247,2025-04-26T13:30:00+00:00,Bayern München,FSV Mainz 05,4-2-2-2
Bundesliga,2024,1224247,2025-04-26T13:30:00+00:00,FSV Mainz 05,Bayern München,3-4-2-1
Bundesliga,2024,1224251,2025-04-26T13:30:00+00:00,VfL Wolfsburg,SC Freiburg,3-5-2
Bundesliga,2024,1224251,2025-04-26T13:30:00+00:00,SC Freiburg,VfL Wolfsburg,4-4-1-1
Bundesliga,2024,1224249,2025-04-26T13:30:00+00:00,1899 Hoffenheim,Borussia Dortmund,3-4-2-1
